Year,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Duration Type,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected
2006,4,4/17/2006,4:20 PM,4/17/2006,6:30:00 PM,2,2,State of Texas (all of Austin Energy),ERCOT,,Load Shed/Made Public Appeals/Rolling Blackouts,Planned Outage,37- 40,"8,000 -10,000"
2006,4,4/17/2006,4:35 PM,4/17/2006,6:10:00 PM,2,2,AEP Texas Central/Texas North,ERCOT,,Load Shed/Declared EECP,Planned Outage,108,51404
2006,4,4/21/2006,7:00 AM,4/21/2006,10:00:00 AM,3,4,System-wide greater Houston metro area,ERCOT,,Severe Weather,Natural Disasters,219,82000
2006,11,11/15/2006,10:00 AM,11/15/2006,8:00:00 PM,10,6,System-wide greater Houston area,ERCOT,,High Winds,Natural Disasters,221,83000
2007,3,3/31/2007,7:30 AM,3/31/2007,7:00:00 PM,12,6,"Houston, Texas",ERCOT,,Severe Thunderstorms,Natural Disasters,179,67000
2007,5,5/2/2007,1:30 PM,5/3/2007,8:00:00 PM,31,6,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",ERCOT,,Severe Storms,Natural Disasters,-,300000
2007,8,8/14/2007,2:00 PM,8/14/2007,6:00:00 PM,4,4,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",SPP,,Declared Energy Emergency Alert2/Heat Wave,Natural Disasters,20,-
2007,9,9/5/2007,7:53 AM,9/5/2007,1:11:00 PM,5,6,"Central Texas, ERCOT Grid",ERCOT,,Severe Weather/Transmission Fault-Units Tripped,Natural Disasters,1084,N/A
2007,9,9/13/2007,4:00 AM,9/14/2007,7:00:00 AM,27,6,"Between Galveston and Beaumont, Texas",SPP,,Hurricane Humberto,Natural Disasters,N/A,118000
2008,4,4/9/2008,4:00 PM,4/13/2008,1:15:00 AM,81,6,"North, Central and East Texas",TRE,,Severe Weather,Natural Disasters,N/A,488689
2008,6,6/17/2008,9:01 AM,6/19/2008,8:30:00 PM,59,6,"North, Central and East Texas",TRE,,Severe Thunderstorms,Natural Disasters,N/A,234393
2008,6,6/17/2008,8:35 PM,6/18/2008,1:55:00 AM,5,6,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,,Electrical System Separation/Severe Thunderstorms,Natural Disasters,560,18000
2008,6,6/17/2008,8:40 PM,6/17/2008,11:00:00 PM,2,2,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,,Thunderstorms/Uncontrolled Loss of Load,Natural Disasters,276,37330
2008,7,7/22/2008,2:00 PM,7/24/2008,5:09:00 AM,39,6,Texas Panhandle and Southeastern New Mexico,SPP,,Indequate Electric Resources to Serve Load/Public Appeal,Planned Outage,N/A,-
2008,7,7/23/2008,5:56 AM,7/31/2008,4:00:00 AM,190,6,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,,Hurricane Dolly,Natural Disasters,703,211266
2008,8,8/3/2008,1:30 AM,8/3/2008,4:15:00 AM,3,4,"Mississippi, Louisiana, Texas",SERC,,Severe Thunderstorms,Natural Disasters,N/A,59500
2008,8,8/9/2008,12:00 PM,8/9/2008,8:46:00 PM,9,6,Texas Panhandle and Eastern New Mexico,SPP,,Declared Energy Emergency Alert 1/Made Public Appeals,Planned Outage,0,0
2008,9,9/12/2008,5:45 AM,9/14/2008,10:00:00 PM,64,6,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,,Hurricane Ike,Natural Disasters,N/A,705000
2008,9,9/12/2008,6:21 PM,10/1/2008,11:59:00 PM,462,6,Greater Houston-Galveston Metro Area,TRE,,Hurricane Ike,Natural Disasters,8087,2142678
2008,9,9/12/2008,6:21 PM,10/1/2008,11:59:00 PM,462,6,Greater Houston Area-Eastern Region of ERCOT,TRE,,Hurricane Ike,Natural Disasters,N/A,2504366
2008,9,9/13/2008,12:00 PM,9/15/2008,8:00:00 AM,44,6,"North, Central and East Texas",TRE,,Hurricane Ike,Natural Disasters,N/A,238392
2008,9,9/13/2008,4:00 PM,9/16/2008,7:44:00 PM,76,6,Texas and Louisana,SPP,,Hurricane Ike,Natural Disasters,N/A,184501
2009,1,1/5/2009,5:00 AM,1/6/2009,6:00:00 PM,37,6,North and Central Texas,TRE,,Severe Storm,Natural Disasters,N/A,157019
2009,2,2/11/2009,2:30 AM,2/11/2009,12:00:00 PM,10,6,"Houston, Texas",TRE,,High Winds,Natural Disasters,350,64801
2009,3,3/1/2009,12:15 AM,3/1/2009,3:00:00 AM,3,4,"City of El Paso, Texas, County of El Paso",WECC,,Transmission Equipment Failure,Equipment Failure,250,132000
2009,4,4/27/2009,3:30 PM,4/28/2009,11:30:00 AM,20,6,Greater Houston/Galveston Area,TRE,,High Winds,Natural Disasters,176,158000
2009,6,6/10/2009,6:00 PM,6/14/2009,10:00:00 AM,88,6,North and Central Texas,TRE,,Severe Storms,Natural Disasters,N/A,800000
2009,7,7/7/2009,3:30 PM,7/7/2009,7:00:00 PM,4,4,"San Antonio, Texas",TRE,,Made Public Appeals,Planned Outage,N/A,N/A
2009,7,7/18/2009,7:00 PM,7/19/2009,9:00:00 PM,26,6,Houston/Galveston Area,TRE,,Thunderstorms,Natural Disasters,51,73000
2009,8,8/12/2009,6:25 PM,8/12/2009,10:00:00 PM,4,4,South Houston Service Area,TRE,,Thunderstorms,Natural Disasters,491,73000
2009,8,8/21/2009,7:00 PM,8/22/2009,8:00:00 AM,13,6,Houston Metropolitan Service Area,TRE,,Thunderstorms,Natural Disasters,544,80000
2010,2,2/11/2010,12:00 PM,2/15/2010,9:00:00 PM,105,6,Dallas/Fort Worth and East Texas,TRE ,,Winter Storm,Natural Disasters,N/A,500000
2010,2,2/12/2010,5:00 AM,2/12/2010,5:00:00 PM,12,6,"East Texas, Western Arkansas, Northern Lousiania", SPP ,,Winter Storm,Natural Disasters,N/A,52999
2010,6,6/8/2010,11:00 AM,6/8/2010,5:00:00 PM,6,6,Southeastern Texas,TRE ,,Thunderstorms,Natural Disasters,N/A,79741
2010,8,8/4/2010,12:00 PM,8/4/2010,10:00:00 PM,10,6,"Northern Texas, Eastern New Mexico",SPP ,,Made Public Appeals,Planned Outage,N/A,N/A
2010,8,8/23/2010,5:50 PM,8/24/2010,9:30:00 AM,16,6,"Houston, Texas",TRE ,,Severe Weather,Natural Disasters,746,81586
2010,9,9/7/2010,2:02 PM,9/8/2010,1:27:00 AM,11,6,"San Antonio, Texas",TRE ,,Tropical Storm,Natural Disasters,N/A,340350
2011,1,1/24/2011,1:20:00 PM,1/24/2011,1:30:00 PM,0,2,"Newman Power Plant, Texas",WECC,,Suspicious Activity,Others,0,0
2011,2,2/2/2011,5:43:00 AM,2/3/2011,10:00:00 AM,28,6,Texas,TRE,,Generation Inadequacy/Load Shed,Planned Outage,4000,1069730
2011,2,2/2/2011,7:24:00 AM,2/2/2011,10:23:00 PM,15,6,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",WECC,,Generation Inadequacy/Load Shed,Planned Outage,280,178000
2011,2,2/2/2011,5:00:00 PM,2/3/2011,10:00:00 PM,29,6,"Texas Panhandle, Southeastern New Mexico",SPP,,Fuel Supply Deficiency (Natural Gas),Fuel Deficiency,UNK,UNK
2011,2,2/3/2011,10:04:00 PM,2/4/2011,12:32:00 PM,14,6,Texas,TRE,,Generation Inadequacy/Load Shed,Planned Outage,400,86013
2011,2,2/9/2011,3:45:00 AM,2/9/2011,9:12:00 AM,5,6,"Western Houston, Texas",TRE,,Winter Storm,Natural Disasters,399,60000
2011,2,2/9/2011,4:30:00 PM,2/10/2011,12:33:00 PM,20,6,Texas,TRE,,Cold Weather Event,Natural Disasters,N/A,N/A
2011,3,3/10/2011,12:03:00 PM,3/11/2011,6:00:00 AM,18,6,Texas,TRE,,Suspected Physical Attack,Human Attack,N/A,N/A
2011,3,3/15/2011,6:00:00 PM,3/15/2011,7:14:00 PM,1,2,"The Woodlands, Texas",TRE,,Suspected Physical Attack,Human Attack,N/A,N/A
2011,4,4/4/2011,7:00:00 PM,4/5/2011,8:00:00 PM,25,6,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,,Severe Weather,Natural Disasters,UNK,74645
2011,6,6/5/2011,5:30:00 AM,6/6/2011,1:30:00 AM,20,6,"Houston Metro-Area, Texas",TRE,,Severe Thunderstorms,Natural Disasters,473,78000
2011,6,6/6/2011,12:13:00 AM,6/6/2011,3:15:00 AM,3,4,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,,Load Shed/ Automatic undervoltage relay action,Planned Outage,450,162000
2011,6,6/27/2011,3:00:00 PM,6/27/2011,7:00:00 PM,4,4,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,6,6/29/2011,11:30:00 AM,6/29/2011,6:04:00 PM,7,6,"Panhandle and Muleshoe, Texas",SPP,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,7,7/14/2011,11:00:00 AM,7/14/2011,7:00:00 PM,8,6,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,8,8/1/2011,3:00:00 PM,8/5/2011,7:00:00 PM,100,6,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,8,8/4/2011,10:30:00 AM,8/4/2011,4:00:00 PM,6,6,"Arkansas, Oklahoma, Texas",SPP,,Public Appeal to Reduce Electricity Usage,Planned Outage,N/A,N/A
2011,8,8/23/2011,10:30:00 AM,8/23/2011,4:54:00 PM,6,6,"Southeastern New Mexico,  Texas Panhandle",SPP,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,8,8/23/2011,3:43:00 PM,8/23/2011,7:00:00 PM,3,4,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,8,8/24/2011,1:20:00 PM,8/29/2011,7:00:00 PM,126,6,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,0,0
2011,8,8/24/2011,7:45:00 AM,8/25/2011,6:00:00 AM,22,6,"Houston area, Texas",TRE,,Severe Weather,Natural Disasters,485,79000
2011,8,8/24/2011,2:51:00 PM,8/24/2011,10:00:00 PM,7,6,"Arkansas, Louisiana, Texas",SPP,,Severe Weather,Natural Disasters,N/A,53064
2011,9,9/29/2011,5:00:00 AM,9/30/2011,6:00:00 AM,25,6,"Houston metro area, Texas",TRE,,Severe Weather,Natural Disasters,N/A,65000
2011,12,12/2/2011,4:15:00 PM,12/2/2011,8:30:00 PM,4,4,Rusk County Texas,TRE,,Suspected Physical Attack,Human Attack,N/A,N/A
2012,1,1/10/2012,9:30:00 PM,1/10/2012,9:30:00 PM,0,2,"Rusk County, Texas",TRE,,Load Shed,Planned Outage,N/A,N/A
2012,1,1/17/2012,10:31:00 AM,1/17/2012,5:21:00 PM,7,6,"Austin, Texas",TRE,,Suspected Cyber Attack,Human Attack,N/A,0
2012,2,2/23/2012,5:45:00 AM,2/23/2012,3:02:00 PM,9,6,"South East College Station, Texas",TRE,,Suspected Physical Attack,Human Attack,0,0
2012,3,3/4/2012,1:38:00 PM,3/5/2012,11:00:00 AM,21,6,Texas,SERC,,Suspected Physical Attack,Human Attack,UNK,UNK
2012,3,3/20/2012,8:00:00 AM,3/20/2012,1:00:00 PM,5,6,"Houston, Texas",TRE,,Severe Weather - Thunderstorms,Natural Disasters,N/A,96000
2012,4,4/20/2012,2:27:00 PM,4/21/2012,4:27:00 AM,14,6,"Metropolitan Houston, Texas",TRE,,Severe Weather - Thunderstorms,Natural Disasters,N/A,120377
2012,6,6/12/2012,3:57:00 PM,6/14/2012,4:57:00 AM,37,6,"Houston, Texas",TRE,,Severe Weather - Thunderstorms,Natural Disasters,920,175000
2012,7,7/21/2012,2:19:00 AM,7/21/2012,5:20:00 AM,6,6,"City of Lubbock, Texas",SPP,,Severe Weather; Equipment Failure,Natural Disasters,220,70000
2012,8,8/19/2012,8:42:00 AM,8/19/2012,12:08:00 PM,7,6,"El Paso, Texas",WECC,,Suspected Physical Attack,Human Attack,12,3314
2012,11,11/17/2012,10:00:00 AM,11/18/2012,10:00:00 AM,24,6,"Comanche Peak, Texas",TRE,,Fuel Supply Deficiency,Fuel Deficiency,1231,0
2012,12,12/25/2012,12:45:00 AM,12/28/2012,4:15:00 PM,88,6,Arkansas; Louisiana; Mississippi; Texas ,SPP,,Severe Weather - Winter Storm,Natural Disasters,Unknown,242509
2012,12,12/25/2012,9:28:00 AM,12/26/2012,4:28:00 PM,31,6,"Houston, Texas",TRE,,"Severe Weather - Cold Front, High Winds",Natural Disasters,294,262000
2013,8,8/16/2013,4:58:00 PM,8/17/2013,11:58:00 PM,31,6,Houston Service Area Texas,TRE,,Severe Weather - Thunderstorms,Natural Disasters,Unknown,219681
2013,10,10/27/2013,4:27:00 AM,10/27/2013,10:27:00 PM,18,6,"Houston, Texas",TRE,,Severe Weather - Hail Storm,Natural Disasters,Unknown,171117
2013,12,12/6/2013,1:51:00 AM,12/11/2013,12:00:00 PM,130,6,"Greater Houston, Texas",TRE,,Severe Weather - Ice/Snow,Natural Disasters,Unknown,881000
2013,12,12/13/2013,11:00:00 AM,12/27/2013,11:00:00 AM,336,6,Texas,TRE,,Fuel Supply Emergencies (Coal),Fuel Deficiency,Unknown,Unknown
2013,12,12/13/2013,11:00:00 AM,12/27/2013,11:00:00 AM,336,6,Texas,TE,,Fuel Supply Emergencies (Coal),Fuel Deficiency,Unknown,Unknown
2014,1,1/6/2014,7:01:00 AM,1/7/2014,9:00:00 AM,26,6,Texas,TRE,,Public Appeal due to Severe Weather - Cold,Planned Outage,N/A,N/A
2014,1,1/18/2014,9:00:00 AM,1/18/2014,9:45:00 AM,1,2,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,Unknown
2014,2,2/6/2014,1:58:00 PM,2/6/2014,8:40:00 PM,7,6,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,Unknown
2014,2,2/6/2014,3:35:00 PM,2/7/2014,11:30:00 AM,20,6,ERCOT Region Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,Unknown
2014,2,2/7/2014,4:30:00 PM,2/8/2014,9:00:00 AM,17,6,ERCOT Region Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,Unknown
2014,2,2/7/2014,4:50:00 PM,2/7/2014,8:30:00 PM,4,4,Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,Unknown
2014,3,3/2/2014,7:00:00 PM,3/4/2014,9:00:00 AM,38,6,ERCOT Region Texas,TRE,,Public Appeal due to Severe Weather - Cold,Planned Outage,N/A,N/A
2014,4,4/3/2014,12:00:00 AM,Unknown,Unknown,N/A,NA,Texas,TRE,,Fuel Supply Emergency - Coal,Fuel Deficiency,Unknown,Unknown
2014,6,6/3/2014,1:38:00 AM,6/3/2014,1:43:00 AM,0,2,Texas,ERCOT,,Physical Attack - Vandalism,Human Attack,Unknown,Unknown
2014,6,6/6/2014,1:00:00 PM,Unknown,Unknown,N/A,NA,Texas,ERCOT,,Fuel Supply Emergency - Coal,Fuel Deficiency,Unknown,Unknown
2014,6,6/12/2014,9:10:00 AM,6/12/2014,9:11:00 AM,0,2,"Somervell County, Texas",ERCOT,,Suspected Physical Attack,Human Attack,Unknown,Unknown
2014,10,10/2/2014,4:00:00 PM,10/7/2014,10:00:00 AM,114,6,Texas,TRE,,Severe Weather - Thunderstorms,Natural Disasters,Unknown,500000
2014,10,10/6/2014,10:52:00 AM,10/7/2014,12:52:00 AM,14,6,"Houston, Texas",TRE,,Severe Weather - Thunderstorms,Natural Disasters,292,129237
2014,10,10/8/2014,4:47:00 PM,10/8/2014,6:29:00 PM,2,2,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,Planned Outage,Unknown,Unknown
2014,10,10/8/2014,4:49:00 PM,10/8/2014,6:23:00 PM,2,2,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,Planned Outage,585,120000
2014,10,10/9/2014,9:27:00 AM,Unknown,Unknown,N/A,NA,Rio Grande Valley Texas,TRE,,Public Appeal to Reduce Electricity Usage,Planned Outage,Unknown,2800
2014,10,10/20/2014,12:00:00 AM,Unknown,Unknown,N/A,NA,"Howard County, Texas",MRO,,Suspected Physical Attack - Vandalism,Human Attack,Unknown,Unknown
2014,10,10/24/2014,4:00:00 PM,10/24/2014,5:50:00 PM,2,2,"Howard County, Texas",MRO,,Suspected Physical Attack - Vandalism,Human Attack,Unknown,Unknown
2014,11,11/13/2014,7:07:00 AM,11/13/2014,7:08:00 AM,0,2,"Howard County,Texas",MRO,,Suspected Physical Attack - Vandalism,Human Attack,Unknown,Unknown
2014,11,11/24/2014,12:00:00 AM,Unknown,Unknown,N/A,NA,"Nebraska, Kansas, Texas, Arkansas, Louisiana, New Mexico",SPP,,Fuel Supply Emergency - Coal,Fuel Deficiency,Unknown,Unknown
2015,1,1/27/2015,10:30:00 AM,1/27/2015,10:31:00 AM,0,2,"Kountze, Texas",SERC,Suspected Physical Attack,Sabotage,Human Attack,0,0
2015,2,2/2/2015,9:40:00 AM,2/2/2015,9:41:00 AM,0,2,"Conroe, Texas",TRE,Suspected Physical Attack,Sabotage,Human Attack,Unknown,Unknown
2015,4,4/17/2015,9:30:00 PM,4/19/2015,11:50:00 PM,50,6,"Houston, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,280982
2015,4,4/18/2015,9:00:00 PM,4/21/2015,4:00:00 AM,55,6,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,89000
2015,4,4/24/2015,7:10:00 PM,4/26/2015,4:00:00 PM,45,6,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,57000
2015,4,4/27/2015,10:30:00 AM,4/28/2015,6:45:00 PM,32,6,Louisiana and Texas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,199000
2015,5,5/25/2015,6:00:00 PM,5/29/2015,7:15:00 AM,85,6,North Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,454000
2015,5,5/25/2015,10:45:00 PM,5/28/2015,1:25:00 AM,51,6,"Fort Bend County, & Harris County ,Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,61000
2015,5,5/25/2015,8:30:00 PM,5/26/2015,6:30:00 PM,22,6,Texas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,57531
2015,5,5/25/2015,8:30:00 PM,Unknown,Unknown,N/A,NA,"Texas, Louisiana, Arkansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,57351
2015,5,5/26/2015,5:30:00 AM,5/27/2015,7:00:00 PM,38,6,"Texas, Louisiana, Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,78515
2015,6,6/3/2015,3:00:00 PM,6/5/2015,5:00:00 PM,50,6,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,Equipment Failure,Unknown,Unknown
2015,7,7/3/2015,5:17:00 PM,7/3/2015,11:30:00 PM,6,6,Texas,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,Equipment Failure,350,30000
2015,7,7/16/2015,4:45:00 PM,7/16/2015,5:48:00 PM,1,2,Texas,SPP,Load shedding of 100 Megawatts or more implemented under emergency operational policy,System Operations,Equipment Failure,117,17311
2015,7,7/30/2015,9:50:00 AM,7/30/2015,7:00:00 PM,9,6,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,Equipment Failure,Unknown,Unknown
2015,8,8/11/2015,7:30:00 PM,8/13/2015,4:05:00 AM,33,6,Texas: Houston;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,100000
2015,8,8/13/2015,3:15:00 PM,8/13/2015,7:00:00 PM,4,4,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity,Other,Others,Unknown,Unknown
2015,10,10/13/2015,10:25:00 AM,10/13/2015,6:00:00 PM,8,6,Texas,TRE,Public appeal to reduce the use of electricity,Other,Others,Unknown,Unknown
2015,10,10/31/2015,12:45:00 AM,11/1/2015,4:05:00 PM,39,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,130252
2015,12,12/26/2015,7:30:00 PM,Unknown,Unknown,N/A,NA,Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,70000
2015,12,12/26/2015,6:00:00 PM,12/30/2015,6:00:00 AM,84,6,Texas: Oklahoma:,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,116800
2016,4,4/18/2016,5:05:00 AM,4/20/2016,7:55:00 AM,51,6,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Natural Disasters,Unknown,415103
2016,4,4/27/2016,5:50:00 AM,4/28/2016,1:35:00 AM,20,6,Texas: Harris County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Natural Disasters,Unknown,214864
2016,4,4/27/2016,6:00:00 PM,4/27/2016,6:05:00 PM,0,2,Texas: Rusk County,TRE,Suspected Physical Attack,Sabotage,Human Attack,0,0
2016,5,5/10/2016,8:45:00 PM,5/13/2016,3:00:00 AM,54,6,"Texas: Dallas County, Tarrant County, Parker County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Distribution Interruption,Equipment Failure,Unknown,85000
2016,7,7/5/2016,2:45:00 AM,7/6/2016,3:00:00 AM,24,6,"Texas: Dallas County, Tarrant County",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,52000
2016,7,7/9/2016,5:45:00 PM,7/11/2016,2:00:00 PM,44,6,Texas: Dallas County,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,62000
2016,7,7/14/2016,4:30:00 PM,7/16/2016,12:00:00 AM,32,6,Arkansas: Louisiana: Mississippi: Texas,"SPP, SERC, TRE","Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,170244
2016,8,8/23/2016,5:00:00 PM,8/24/2016,12:05:00 AM,7,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,72200
2016,9,9/21/2016,7:44:00 PM,9/21/2016,9:17:00 PM,2,2,Texas: Lubbock County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Event,Human Attack,0,0
2016,10,10/3/2016,3:09:00 PM,10/4/2016,7:00:00 PM,28,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Planned Outage,Unknown,Unknown
2016,10,10/5/2016,11:32:00 AM,10/5/2016,7:00:00 PM,7,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Planned Outage,Unknown,Unknown
2016,10,10/6/2016,9:50:00 AM,10/6/2016,7:00:00 PM,9,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Public Appeal,Planned Outage,Unknown,Unknown
2016,10,10/7/2016,11:08:00 AM,10/7/2016,7:00:00 PM,8,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Planned Outage,Unknown,Unknown
2016,10,10/10/2016,1:15:00 PM,10/10/2016,7:00:00 PM,6,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Planned Outage,Unknown,Unknown
